,complete,error,sol,sub_data,u,u_nom
53,False,False,"[[ 0.52261776]
 [-0.13008697]]","{'bfs': Array([0.0165599 , 0.10208782, 0.06758137], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.52261776 -0.13008697],[ 1.1716021 -0.6123939]
54,False,False,"[[ 0.5138547 ]
 [-0.12766235]]","{'bfs': Array([0.01722785, 0.10157116, 0.0672366 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.5138547  -0.12766235],[ 1.1679697 -0.6109778]
55,False,False,"[[ 0.50555944]
 [-0.12536599]]","{'bfs': Array([0.01790712, 0.10105765, 0.06689409], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.50555944 -0.12536599],[ 1.1643915 -0.6095904]
56,False,False,"[[ 0.49769026]
 [-0.12318658]]","{'bfs': Array([0.01859778, 0.10054721, 0.06655379], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.49769026 -0.12318658],[ 1.1608647 -0.6082301]
57,False,False,"[[ 0.4914851 ]
 [-0.12139646]]","{'bfs': Array([0.01929989, 0.1000398 , 0.06621569], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.4914851  -0.12139646],[ 1.1573869 -0.6068956]
58,False,False,"[[ 0.48423442]
 [-0.11939234]]","{'bfs': Array([0.02001543, 0.09953414, 0.06587861], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.48423442 -0.11939234],[ 1.153946   -0.60558265]
59,False,False,"[[ 0.4773265 ]
 [-0.11748157]]","{'bfs': Array([0.02074246, 0.09903145, 0.06554367], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.4773265  -0.11748157],[ 1.1505502  -0.60429317]
60,False,False,"[[ 0.47073314]
 [-0.11565737]]","{'bfs': Array([0.02148109, 0.09853176, 0.06521081], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.47073314 -0.11565737],[ 1.1471974 -0.6030265]
61,False,False,"[[ 0.46572274]
 [-0.11419579]]","{'bfs': Array([0.02223134, 0.09803492, 0.06488003], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.46572274 -0.11419579],[ 1.1438857 -0.6017814]
62,False,False,"[[ 0.45957366]
 [-0.11249827]]","{'bfs': Array([0.02299541, 0.09753966, 0.0645501 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.45957366 -0.11249827],[ 1.1406035 -0.6005538]
63,False,False,"[[ 0.45368564]
 [-0.11087228]]","{'bfs': Array([0.02377115, 0.09704731, 0.06422222], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.45368564 -0.11087228],[ 1.1373597 -0.5993464]
64,False,False,"[[ 0.44803974]
 [-0.10931243]]","{'bfs': Array([0.02455858, 0.09655777, 0.06389634], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.44803974 -0.10931243],[ 1.1341528  -0.59815806]
65,False,False,"[[ 0.44261944]
 [-0.10781439]]","{'bfs': Array([0.02535775, 0.096071  , 0.06357237], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.44261944 -0.10781439],[ 1.1309808  -0.59698814]
66,False,False,"[[ 0.4387232 ]
 [-0.10665768]]","{'bfs': Array([0.02616872, 0.095587  , 0.06325033], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.4387232  -0.10665768],[ 1.1278428  -0.59583616]
67,False,False,"[[ 0.43360746]
 [-0.10524756]]","{'bfs': Array([0.026994  , 0.09510432, 0.06292903], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.43360746 -0.10524756],[ 1.1247271 -0.594698 ]
68,False,False,"[[ 0.42868388]
 [-0.10388999]]","{'bfs': Array([0.02783103, 0.09462443, 0.06260965], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.42868388 -0.10388999],[ 1.1216438  -0.59357655]
69,False,False,"[[ 0.4239405 ]
 [-0.10258166]]","{'bfs': Array([0.02867989, 0.09414725, 0.06229215], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.4239405  -0.10258166],[ 1.1185911 -0.5924712]
70,False,False,"[[ 0.41936627]
 [-0.10131964]]","{'bfs': Array([0.02954058, 0.09367272, 0.06197651], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.41936627 -0.10131964],[ 1.1155682 -0.5913814]
71,False,False,"[[ 0.41495016]
 [-0.10010083]]","{'bfs': Array([0.03041316, 0.09320085, 0.06166269], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.41495016 -0.10010083],[ 1.1125739 -0.5903064]
72,False,False,"[[ 0.4106835 ]
 [-0.09892298]]","{'bfs': Array([0.03129759, 0.09273153, 0.06135064], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.4106835  -0.09892298],[ 1.1096072  -0.58924586]
73,False,False,"[[ 0.40786394]
 [-0.09806094]]","{'bfs': Array([0.03219393, 0.09226479, 0.06104037], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.40786394 -0.09806094],[ 1.1066672 -0.5881991]
74,False,False,"[[ 0.403788  ]
 [-0.09693926]]","{'bfs': Array([0.03310512, 0.09179923, 0.0607307 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.403788   -0.09693926],[ 1.1037433  -0.58716303]
75,False,False,"[[ 0.39984372]
 [-0.09585346]]","{'bfs': Array([0.03402817, 0.09133627, 0.06042281], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.39984372 -0.09585346],[ 1.1008447 -0.5861401]
76,False,False,"[[ 0.39602384]
 [-0.09480149]]","{'bfs': Array([0.03496313, 0.09087582, 0.0601167 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.39602384 -0.09480149],[ 1.0979711  -0.58513016]
77,False,False,"[[ 0.39232147]
 [-0.09378186]]","{'bfs': Array([0.03590997, 0.09041794, 0.05981228], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.39232147 -0.09378186],[ 1.0951213 -0.5841325]
78,False,False,"[[ 0.38873062]
 [-0.0927926 ]]","{'bfs': Array([0.03686872, 0.0899625 , 0.0595096 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.38873062 -0.0927926 ],[ 1.0922947 -0.5831469]
79,False,False,"[[ 0.38524562]
 [-0.09183231]]","{'bfs': Array([0.03783936, 0.08950955, 0.05920858], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.38524562 -0.09183231],[ 1.0894907  -0.58217317]
80,False,False,"[[ 0.38186082]
 [-0.09089954]]","{'bfs': Array([0.03882194, 0.08905905, 0.05890927], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.38186082 -0.09089954],[ 1.0867084 -0.5812108]
81,False,False,"[[ 0.37857127]
 [-0.08999279]]","{'bfs': Array([0.03981638, 0.08861091, 0.05861158], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.37857127 -0.08999279],[ 1.0839474 -0.5802592]
82,False,False,"[[ 0.3753728 ]
 [-0.08911105]]","{'bfs': Array([0.04082278, 0.08816521, 0.05831555], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3753728  -0.08911105],[ 1.0812075 -0.5793186]
83,False,False,"[[ 0.37226066]
 [-0.08825296]]","{'bfs': Array([0.04184106, 0.0877219 , 0.05802109], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.37226066 -0.08825296],[ 1.0784872 -0.5783882]
84,False,False,"[[ 0.37049052]
 [-0.08767866]]","{'bfs': Array([0.04287119, 0.08728088, 0.05772825], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.37049052 -0.08767866],[ 1.0757864  -0.57746804]
85,False,False,"[[ 0.3674822 ]
 [-0.08685203]]","{'bfs': Array([0.04391683, 0.08684083, 0.05743587], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3674822  -0.08685203],[ 1.0730953 -0.5765551]
86,False,False,"[[ 0.36455294]
 [-0.0860469 ]]","{'bfs': Array([0.04497432, 0.08640317, 0.05714507], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.36455294 -0.0860469 ],[ 1.070423  -0.5756519]
87,False,False,"[[ 0.36169887]
 [-0.08526231]]","{'bfs': Array([0.04604362, 0.08596785, 0.05685586], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.36169887 -0.08526231],[ 1.0677693 -0.5747581]
88,False,False,"[[ 0.35891703]
 [-0.08449747]]","{'bfs': Array([0.04712477, 0.08553484, 0.05656826], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.35891703 -0.08449747],[ 1.0651336 -0.5738737]
