,complete,error,sol,sub_data,u,u_nom
180,False,False,"[[1.7384686e+00]
 [6.6567600e-01]
 [1.0019523e-04]]","{'bfs': Array([0.0000000e+00, 1.0232822e-05, 1.2981564e-36], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([21.557562], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.7384686 0.665676 ],[0. 0. 0.]
181,False,False,"[[1.78619325e+00]
 [5.65997779e-01]
 [1.01509635e-04]]","{'bfs': Array([0.0000000e+00, 1.1970663e-05, 1.3096663e-36], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([21.278328], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.7861933 0.5659978],[0. 0. 0.]
182,False,False,"[[1.8095721e+00]
 [5.2139044e-01]
 [1.0253766e-04]]","{'bfs': Array([0.0000000e+00, 1.3873702e-05, 1.8013219e-36], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([21.064852], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.8095721  0.52139044],[0. 0. 0.]
183,False,False,"[[1.72447062e+00]
 [7.45279670e-01]
 [1.02060316e-04]]","{'bfs': Array([0.00000000e+00, 1.53451947e-05, 1.07250924e-35], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([21.16678], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.7244706  0.74527967],[0. 0. 0.]
184,False,False,"[[1.7529125e+00]
 [7.0188683e-01]
 [1.0308552e-04]]","{'bfs': Array([0.0000000e+00, 1.7847618e-05, 1.4966283e-35], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.952814], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.7529125  0.70188683],[0. 0. 0.]
185,False,False,"[[1.8125956e+00]
 [5.7706368e-01]
 [1.0462249e-04]]","{'bfs': Array([0.0000000e+00, 2.1069744e-05, 1.3541557e-35], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.6448], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.8125956 0.5770637],[0. 0. 0.]
186,False,False,"[[1.8343509e+00]
 [5.3851849e-01]
 [1.0569182e-04]]","{'bfs': Array([0.0000000e+00, 2.4404691e-05, 1.9423449e-35], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.43889], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.834351  0.5385185],[0. 0. 0.]
187,False,False,"[[1.83358395e+00]
 [5.63506842e-01]
 [1.06406784e-04]]","{'bfs': Array([0.0000000e+00, 2.8030836e-05, 3.9067675e-35], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.30146], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.833584   0.56350684],[0. 0. 0.]
188,False,False,"[[1.8549020e+00]
 [5.2572864e-01]
 [1.0747246e-04]]","{'bfs': Array([0.0000000e+00, 3.2456916e-05, 5.6632752e-35], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.097065], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.854902   0.52572864],[0. 0. 0.]
189,False,False,"[[1.82339954e+00]
 [6.33156717e-01]
 [1.07734486e-04]]","{'bfs': Array([0.0000000e+00, 3.6646124e-05, 1.7364843e-34], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.050879], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.8233995 0.6331567],[0. 0. 0.]
190,False,False,"[[1.8287942e+00]
 [6.4006734e-01]
 [1.0853422e-04]]","{'bfs': Array([0.0000000e+00, 4.2007618e-05, 3.1677715e-34], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([19.897486], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.8287942  0.64006734],[0. 0. 0.]
191,False,False,"[[1.8338634e+00]
 [6.4807552e-01]
 [1.0938196e-04]]","{'bfs': Array([0.0000000e+00, 4.8094818e-05, 5.7922516e-34], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([19.745577], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.8338634 0.6480755],[0. 0. 0.]
192,False,False,"[[1.87377357e+00]
 [5.66497445e-01]
 [1.10783876e-04]]","{'bfs': Array([0.0000000e+00, 5.6237444e-05, 6.7777723e-34], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([19.49371], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.8737736  0.56649745],[0. 0. 0.]
193,False,False,"[[1.88572085e+00]
 [5.57139516e-01]
 [1.11779555e-04]]","{'bfs': Array([0.0000000e+00, 6.4703599e-05, 1.1354703e-33], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([19.3203], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.8857208 0.5571395],[0. 0. 0.]
194,False,False,"[[1.8883353e+00]
 [5.7432979e-01]
 [1.1262708e-04]]","{'bfs': Array([1.2814268e-38, 7.4012030e-05, 2.1668774e-33], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([19.174925], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.8883353 0.5743298],[0. 0. 0.]
195,False,False,"[[1.9721898e+00]
 [3.0541959e-01]
 [1.1514873e-04]]","{'bfs': Array([1.0034361e-36, 8.7434411e-05, 1.0103552e-33], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.755407], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.9721898 0.3054196],[0. 0. 0.]
196,False,False,"[[1.9441656e+00]
 [4.5808426e-01]
 [1.1535989e-04]]","{'bfs': Array([2.0871074e-37, 9.9845325e-05, 3.7790979e-33], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.722996], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.9441656  0.45808426],[0. 0. 0.]
197,False,False,"[[1.9735845e+00]
 [3.8179192e-01]
 [1.1684667e-04]]","{'bfs': Array([1.0263466e-36, 1.1567899e-04, 4.6152582e-33], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.486576], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.9735845  0.38179192],[0. 0. 0.]
198,False,False,"[[1.96710825e+00]
 [4.42539424e-01]
 [1.17551324e-04]]","{'bfs': Array([7.60745968e-37, 1.32300309e-04, 1.09376855e-32], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.374077], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.9671082  0.44253942],[0. 0. 0.]
199,False,False,"[[1.95662868e+00]
 [5.09612918e-01]
 [1.18208205e-04]]","{'bfs': Array([5.0649159e-37, 1.5034428e-04, 2.6542771e-32], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.271807], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.9566287 0.5096129],[0. 0. 0.]
200,False,False,"[[2.0041239e+00]
 [3.7133348e-01]
 [1.2011784e-04]]","{'bfs': Array([5.6490966e-36, 1.7578385e-04, 2.4573911e-32], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.980001], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.004124   0.37133348],[0. 0. 0.]
201,False,False,"[[2.0030332e+00]
 [4.1516390e-01]
 [1.2098837e-04]]","{'bfs': Array([5.4179065e-36, 2.0110153e-04, 5.3385617e-32], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.850554], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.0030332 0.4151639],[0. 0. 0.]
202,False,False,"[[2.0237453e+00]
 [3.7100804e-01]
 [1.2239612e-04]]","{'bfs': Array([1.6658306e-35, 2.3203158e-04, 7.7127017e-32], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.645111], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.0237453  0.37100804],[0. 0. 0.]
203,False,False,"[[2.0465314e+00]
 [3.1222901e-01]
 [1.2393098e-04]]","{'bfs': Array([6.1630652e-35, 2.6775783e-04, 1.0429295e-31], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.42828], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.0465314 0.312229 ],[0. 0. 0.]
204,False,False,"[[2.0362101e+00]
 [4.0323970e-01]
 [1.2459494e-04]]","{'bfs': Array([3.3104742e-35, 3.0495439e-04, 2.8028675e-31], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.335287], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.03621   0.4032397],[0. 0. 0.]
