,complete,error,sol,sub_data,u,u_nom
48,False,False,"[[ 3.8970828 ]
 [-0.17483203]]","{'bfs': Array([1.9556214e-07, 2.8320581e-01, 3.9105122e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 3.8970828  -0.17483203],[ 3.8946319 -0.3657695]
49,False,False,"[[ 3.8565648 ]
 [-0.09213797]]","{'bfs': Array([3.5211761e-07, 2.8136471e-01, 4.7124615e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 3.8565648  -0.09213797],[ 3.858794   -0.35819817]
50,False,False,"[[ 3.815794  ]
 [-0.01535681]]","{'bfs': Array([6.2306543e-07, 2.7954769e-01, 5.6073144e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 3.815794   -0.01535681],[ 3.825479   -0.35422397]
51,False,False,"[[3.7749293 ]
 [0.05620388]]","{'bfs': Array([1.0839109e-06, 2.7775142e-01, 6.5903449e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.7749293  0.05620388],[ 3.794543  -0.3535639]
52,False,False,"[[3.734086  ]
 [0.12298618]]","{'bfs': Array([1.8545325e-06, 2.7597484e-01, 7.6531880e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.734086   0.12298618],[ 3.7658453  -0.35597098]
53,False,False,"[[3.6933436 ]
 [0.18538739]]","{'bfs': Array([3.1219090e-06, 2.7421710e-01, 8.7838005e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.6933436  0.18538739],[ 3.7392545  -0.36122108]
54,False,False,"[[3.6527507 ]
 [0.24376458]]","{'bfs': Array([5.1725542e-06, 2.7247763e-01, 9.9665010e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.6527507  0.24376458],[ 3.714641  -0.3691113]
55,False,False,"[[3.612338  ]
 [0.29843888]]","{'bfs': Array([8.43804264e-06, 2.70755500e-01, 1.11822225e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.612338   0.29843888],[ 3.6918828  -0.37945735]
56,False,False,"[[3.5721111 ]
 [0.34969893]]","{'bfs': Array([1.3557413e-05, 2.6905030e-01, 1.2409001e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.5721111  0.34969893],[ 3.67086    -0.39209175]
57,False,False,"[[3.5320659 ]
 [0.39780393]]","{'bfs': Array([2.1461101e-05, 2.6736125e-01, 1.3622586e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.5320659  0.39780393],[ 3.6514602  -0.40686107]
