,complete,error,sol,sub_data,u,u_nom
25,False,False,"[[ 2.2087693e+00]
 [-6.9911242e-01]
 [ 1.5521281e-04]]","{'bfs': Array([7.5275458e-13, 1.5174674e-13, 2.6694255e-07], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([13.913916], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.2087693 -0.6991124],[0. 0. 0.]
26,False,False,"[[ 2.2075510e+00]
 [-7.2176087e-01]
 [ 1.5598732e-04]]","{'bfs': Array([7.6359291e-13, 1.9725142e-13, 2.8886447e-07], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([13.844921], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.207551   -0.72176087],[0. 0. 0.]
27,False,False,"[[ 2.2449071e+00]
 [-6.7915058e-01]
 [ 1.5908344e-04]]","{'bfs': Array([1.7625113e-12, 2.5925638e-13, 4.3940341e-07], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([13.576169], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.2449071 -0.6791506],[0. 0. 0.]
28,False,False,"[[ 2.2839079e+00]
 [-6.3194507e-01]
 [ 1.6236138e-04]]","{'bfs': Array([4.216030e-12, 3.399188e-13, 6.770049e-07], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([13.298754], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.283908  -0.6319451],[0. 0. 0.]
29,False,False,"[[ 2.2676830e+00]
 [-6.8430811e-01]
 [ 1.6226314e-04]]","{'bfs': Array([3.0628044e-12, 4.4319141e-13, 6.3620377e-07], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([13.310294], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.267683  -0.6843081],[0. 0. 0.]
30,False,False,"[[ 2.3002770e+00]
 [-6.5022016e-01]
 [ 1.6525692e-04]]","{'bfs': Array([6.2689272e-12, 5.8226861e-13, 9.2280993e-07], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([13.069211], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.300277   -0.65022016],[0. 0. 0.]
31,False,False,"[[ 2.3096895e+00]
 [-6.5764743e-01]
 [ 1.6677608e-04]]","{'bfs': Array([7.8301454e-12, 7.6183265e-13, 1.0821458e-06], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([12.949408], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.3096895  -0.65764743],[0. 0. 0.]
32,False,False,"[[ 2.3150384e+00]
 [-6.7214119e-01]
 [ 1.6802292e-04]]","{'bfs': Array([9.0065655e-12, 9.9485351e-13, 1.2182218e-06], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([12.850881], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.3150384 -0.6721412],[0. 0. 0.]
33,False,False,"[[ 2.3602331e+00]
 [-6.1631691e-01]
 [ 1.7205157e-04]]","{'bfs': Array([2.3266715e-11, 1.3136977e-12, 1.9670808e-06], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([12.549703], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.360233  -0.6163169],[0. 0. 0.]
34,False,False,"[[ 2.3819330e+00]
 [-6.0281062e-01]
 [ 1.7456354e-04]]","{'bfs': Array([3.6882955e-11, 1.7264509e-12, 2.5573347e-06], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([12.3698845], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.381933  -0.6028106],[0. 0. 0.]
35,False,False,"[[ 2.3879561e+00]
 [-6.1894643e-01]
 [ 1.7595022e-04]]","{'bfs': Array([4.2293617e-11, 2.2643959e-12, 2.8703682e-06], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([12.271322], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.3879561  -0.61894643],[0. 0. 0.]
36,False,False,"[[ 2.3997030e+00]
 [-6.2476498e-01]
 [ 1.7778939e-04]]","{'bfs': Array([5.4412145e-11, 2.9702994e-12, 3.3800436e-06], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([12.144509], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.399703 -0.624765],[0. 0. 0.]
37,False,False,"[[ 2.4254286e+00]
 [-6.0571927e-01]
 [ 1.8071412e-04]]","{'bfs': Array([9.1680538e-11, 3.9122568e-12, 4.5115994e-06], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([11.9487], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.4254286  -0.60571927],[0. 0. 0.]
38,False,False,"[[ 2.4451723e+00]
 [-5.9795856e-01]
 [ 1.8320873e-04]]","{'bfs': Array([1.3649917e-10, 5.1492682e-12, 5.6794879e-06], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([11.78418], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.4451723  -0.59795856],[0. 0. 0.]
39,False,False,"[[ 2.4452715e+00]
 [-6.2643939e-01]
 [ 1.8423342e-04]]","{'bfs': Array([1.3854430e-10, 6.7351407e-12, 5.9162576e-06], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([11.719453], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.4452715 -0.6264394],[0. 0. 0.]
40,False,False,"[[ 2.4852850e+00]
 [-5.8317673e-01]
 [ 1.8842460e-04]]","{'bfs': Array([2.9826844e-10, 8.9301205e-12, 8.9170335e-06], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([11.458359], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.485285   -0.58317673],[0. 0. 0.]
41,False,False,"[[ 2.4987948e+00]
 [-5.8870149e-01]
 [ 1.9055526e-04]]","{'bfs': Array([3.8634304e-10, 1.1753948e-11, 1.0442471e-05], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([11.329819], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.4987948 -0.5887015],[0. 0. 0.]
42,False,False,"[[ 2.5178103e+00]
 [-5.8483982e-01]
 [ 1.9321276e-04]]","{'bfs': Array([5.5102101e-10, 1.5496963e-11, 1.2806933e-05], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([11.176078], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.5178103 -0.5848398],[0. 0. 0.]
43,False,False,"[[ 2.5254085e+00]
 [-6.0184062e-01]
 [ 1.9490150e-04]]","{'bfs': Array([6.3701333e-10, 2.0341798e-11, 1.4039571e-05], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([11.078823], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.5254085 -0.6018406],[0. 0. 0.]
44,False,False,"[[ 2.5252604e+00]
 [-6.3185120e-01]
 [ 1.9589391e-04]]","{'bfs': Array([6.44229670e-10, 2.65272648e-11, 1.42004055e-05], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([11.019597], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.5252604 -0.6318512],[0. 0. 0.]
45,False,False,"[[ 2.6185074e+00]
 [-4.9353674e-01]
 [ 2.0528406e-04]]","{'bfs': Array([3.3373355e-09, 3.5939338e-11, 3.4556004e-05], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([10.516207], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.6185074  -0.49353674],[0. 0. 0.]
46,False,False,"[[ 2.6329434e+00]
 [-5.0220829e-01]
 [ 2.0770745e-04]]","{'bfs': Array([4.2179908e-09, 4.7620428e-11, 3.9816605e-05], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([10.392549], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.6329434 -0.5022083],[0. 0. 0.]
47,False,False,"[[ 2.6838961e+00]
 [-4.3897462e-01]
 [ 2.1384064e-04]]","{'bfs': Array([1.0172403e-08, 6.3080319e-11, 6.4380445e-05], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([10.095067], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.683896   -0.43897462],[0. 0. 0.]
48,False,False,"[[ 2.6664190e+00]
 [-5.1383126e-01]
 [ 2.1319934e-04]]","{'bfs': Array([7.2904536e-09, 8.3576292e-11, 5.4489112e-05], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([10.1254835], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.666419   -0.51383126],[0. 0. 0.]
