,complete,error,sol,sub_data,u,u_nom
60,False,False,"[[-1.9676603e-02]
 [-4.3339654e-08]]","{'bfs': Array([3.8807762, 8.119224 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27734268], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.0196766],[-0.01984674  0.        ]
61,False,False,"[[-2.1043053e-02]
 [-4.9728587e-08]]","{'bfs': Array([3.882347, 8.117653], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27818704], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02104305],[-0.02122854  0.        ]
62,False,False,"[[-2.2816941e-02]
 [-5.8620710e-08]]","{'bfs': Array([3.8840513, 8.115949 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2805723], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02281694],[-0.02302515  0.        ]
63,False,False,"[[-2.3070188e-02]
 [-6.0055740e-08]]","{'bfs': Array([3.8859282, 8.114072 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27844274], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02307019],[-0.02328337  0.        ]
64,False,False,"[[-2.3291089e-02]
 [-6.1367288e-08]]","{'bfs': Array([3.8878593, 8.112141 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27626312], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02329109],[-0.0235092  0.       ]
65,False,False,"[[-2.436843e-02]
 [-6.728514e-08]]","{'bfs': Array([3.8898444, 8.110156 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27726364], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02436843],[-0.02460466  0.        ]
66,False,False,"[[-2.5873870e-02]
 [-7.5831146e-08]]","{'bfs': Array([3.8919613, 8.108039 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.28043354], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02587387],[-0.02613764  0.        ]
67,False,False,"[[-2.7073538e-02]
 [-8.2889237e-08]]","{'bfs': Array([3.8942566, 8.105743 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2830727], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02707354],[-0.02736293  0.        ]
68,False,False,"[[-2.7592143e-02]
 [-8.6081549e-08]]","{'bfs': Array([3.8967142, 8.103286 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.28320062], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02759214],[-0.02789672  0.        ]
69,False,False,"[[-2.8819632e-02]
 [-9.3356974e-08]]","{'bfs': Array([3.8992825, 8.100718 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.28753257], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02881963],[-0.02915525  0.        ]
70,False,False,"[[-2.9240387e-02]
 [-9.5852180e-08]]","{'bfs': Array([3.9020386, 8.097961 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2884513], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02924039],[-0.02959264  0.        ]
71,False,False,"[[-2.8508997e-02]
 [-9.1808545e-08]]","{'bfs': Array([3.9049182, 8.095081 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.28312612], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.028509],[-0.02885403  0.        ]
72,False,False,"[[-2.9561533e-02]
 [-9.7524122e-08]]","{'bfs': Array([3.9078152, 8.092185 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2892511], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02956153],[-0.02993854  0.        ]
73,False,False,"[[-2.9254638e-02]
 [-9.5716651e-08]]","{'bfs': Array([3.9109197, 8.08908  ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.28753185], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02925464],[-0.02963485  0.        ]
74,False,False,"[[-2.9287385e-02]
 [-9.5490250e-08]]","{'bfs': Array([3.9141047, 8.085896 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.28892446], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02928738],[-0.02967877  0.        ]
75,False,False,"[[-2.9554872e-02]
 [-9.6004356e-08]]","{'bfs': Array([3.9174175, 8.082582 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.29339552], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02955487],[-0.02996322  0.        ]
76,False,False,"[[-2.9586885e-02]
 [-9.4848701e-08]]","{'bfs': Array([3.920902, 8.079098], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.29762816], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02958689],[-0.03000702  0.        ]
77,False,False,"[[-2.8738737e-02]
 [-8.9943512e-08]]","{'bfs': Array([3.9245515, 8.075449 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.29521644], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02873874],[-0.02915122  0.        ]
78,False,False,"[[-2.7646583e-02]
 [-8.4273594e-08]]","{'bfs': Array([3.9282746, 8.071726 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2910887], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02764658],[-0.02804609  0.        ]
79,False,False,"[[-2.6712323e-02]
 [-7.9241602e-08]]","{'bfs': Array([3.9320495, 8.06795  ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.28931844], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02671232],[-0.02710219  0.        ]
80,False,False,"[[-2.5995703e-02]
 [-7.4714379e-08]]","{'bfs': Array([3.935907, 8.064093], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.29134405], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.0259957],[-0.02638013  0.        ]
81,False,False,"[[-2.5251770e-02]
 [-6.9633415e-08]]","{'bfs': Array([3.9398952, 8.060104 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.29519355], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02525177],[-0.02562937  0.        ]
82,False,False,"[[-2.3682011e-02]
 [-6.3130642e-08]]","{'bfs': Array([3.9440348, 8.055965 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2896247], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02368201],[-0.02403692  0.        ]
83,False,False,"[[-2.2278968e-02]
 [-5.6970450e-08]]","{'bfs': Array([3.9482129, 8.051787 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2874341], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02227897],[-0.02261396  0.        ]
84,False,False,"[[-2.0552605e-02]
 [-5.0678075e-08]]","{'bfs': Array([3.9524693, 8.047531 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2811272], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.02055261],[-0.02086195  0.        ]
85,False,False,"[[-1.956113e-02]
 [-4.474429e-08]]","{'bfs': Array([3.9567566, 8.043243 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.29036498], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.01956113],[-0.01985613  0.        ]
86,False,False,"[[-1.8047376e-02]
 [-3.8214743e-08]]","{'bfs': Array([3.9612513, 8.038749 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.29407752], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.01804738],[-0.01831854  0.        ]
87,False,False,"[[-1.6267866e-02]
 [-3.1756976e-08]]","{'bfs': Array([3.9658887, 8.034111 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.29587615], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.01626787],[-0.01651076  0.        ]
88,False,False,"[[-1.4319852e-02]
 [-2.5429273e-08]]","{'bfs': Array([3.9706478, 8.029352 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.29763162], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.01431985],[-0.01453169  0.        ]
89,False,False,"[[-1.2253538e-02]
 [-1.9307656e-08]]","{'bfs': Array([3.975527, 8.024473], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.30141473], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.01225354],[-0.01243244  0.        ]
90,False,False,"[[-9.9567650e-03]
 [-1.3926744e-08]]","{'bfs': Array([3.9805458, 8.019454 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.3037008], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.00995676],[-0.01010091  0.        ]
91,False,False,"[[-7.4465014e-03]
 [-9.2879269e-09]]","{'bfs': Array([3.9856877, 8.014312 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.3034233], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.0074465],[-0.00755347  0.        ]
